preciso sacar dinheiro,Saque
Como faço a retirada do meu dinheiro,Saque
precisamos de dinheiro em espécie,Saque
Localiza caixa eletrônico,Saque
encontrar quiosque para retirar o dinheiro,Saque
Máquina de dinheiro do banco,Saque
preciso de money,Saque
preciso de dinheiro,Saque
banco,Saque
money,Saque
estou sem sem money,Saque
Preciso de cache,Saque
preciso de grana,Saque
"oi, tudo bem. Preciso de grana",Saque
"oi, tudo bom. quero grana",Saque
eu queria fazer um saque,Saque
Estou no bairro gama,Saque
